Iteration_Identifier,time,HSFA1,HSPR,C_HSFA1_HSPR,MMP,FMP,C_HSPR_MMP,HSFA2,HSFB
Iteration 0,4.755360316093644,0,34,61,1,122,21,1,1
Iteration 0,4.785411375609394,0,33,61,0,122,22,1,1
Iteration 0,4.798252363683586,0,33,61,0,123,22,1,1
Iteration 0,4.855988060211729,1,33,61,0,123,22,1,1
Iteration 0,4.858265466227121,0,32,62,0,123,22,1,1
Iteration 0,4.88643246231489,1,33,61,0,123,22,1,1
Iteration 0,4.886825288704948,0,32,62,0,123,22,1,1
Iteration 0,4.928582750996332,0,32,62,0,124,22,1,1
Iteration 0,4.9567498726067925,0,32,62,0,125,22,1,1
Iteration 0,4.960925281242388,1,33,61,0,125,22,1,1
Iteration 0,4.961065545531403,1,34,61,0,125,22,1,1
Iteration 0,4.962626580727126,0,33,62,0,125,22,1,1
Iteration 0,4.987646441573529,0,33,62,0,126,22,1,1
Iteration 0,4.999179525670703,0,34,62,0,127,21,1,1
Iteration 0,5.000918354648514,1,35,61,0,127,21,1,1
Iteration 0,5.003887840785781,0,34,62,0,127,21,1,1
Iteration 0,5.034531984786951,0,34,62,0,128,21,1,1
Iteration 0,5.082880935785655,0,35,62,0,128,21,1,1
Iteration 0,5.1031207743124005,0,36,62,0,128,21,1,1
Iteration 0,5.116690639547963,0,37,62,0,129,20,1,1
Iteration 0,5.148409097611024,0,37,62,0,130,20,1,1
Iteration 0,5.167305109877566,0,37,62,0,129,20,1,1
Iteration 0,5.175864440275362,0,38,62,0,130,19,1,1
Iteration 0,5.190830121339144,0,38,62,0,131,19,1,1
Iteration 0,5.22645261776327,1,39,61,0,131,19,1,1
Iteration 0,5.230847568370263,0,38,62,0,131,19,1,1
Iteration 0,5.271623423913355,0,38,62,0,130,19,1,1
Iteration 0,5.300039798288914,1,39,61,0,130,19,1,1
Iteration 0,5.302460370636835,0,38,62,0,130,19,1,1
Iteration 0,5.3692043652383195,0,38,62,0,131,19,1,1
Iteration 0,5.388051118071721,1,39,61,0,131,19,1,1
Iteration 0,5.391011956992289,0,38,62,0,131,19,1,1
Iteration 0,5.406426407551412,0,38,62,0,132,19,1,1
Iteration 0,5.417029314253746,1,39,61,0,132,19,1,1
Iteration 0,5.4201661210664485,0,38,62,0,132,19,1,1
Iteration 0,5.4283350189808495,0,38,62,0,133,19,1,1
Iteration 0,5.4405533839614435,0,39,62,0,134,18,1,1
Iteration 0,5.44581294869447,0,39,62,1,133,18,1,1
Iteration 0,5.454712598776915,1,40,61,1,133,18,1,1
Iteration 0,5.455291300222964,0,39,62,1,133,18,1,1
Iteration 0,5.457844807149623,1,40,61,1,133,18,1,1
Iteration 0,5.458428774961761,0,39,62,1,133,18,1,1
Iteration 0,5.53763723265714,0,39,62,2,132,18,1,1
Iteration 0,5.586940149278907,1,40,61,2,132,18,1,1
Iteration 0,5.588872804335517,1,39,61,1,132,19,1,1
Iteration 0,5.58922250092033,0,38,62,1,132,19,1,1
Iteration 0,5.59853076605346,1,38,62,1,132,19,1,1
Iteration 0,5.601027423971998,0,37,63,1,132,19,1,1
Iteration 0,5.613414459051535,0,37,63,1,133,19,1,1
Iteration 0,5.630170232648143,0,37,63,1,134,19,1,1
Iteration 0,5.633453938719731,0,36,63,0,134,20,1,1
Iteration 0,5.64417594190739,1,37,62,0,134,20,1,1
Iteration 0,5.644244059769387,0,36,63,0,134,20,1,1
Iteration 0,5.669710396132102,0,36,63,1,133,20,1,1
Iteration 0,5.715148515502976,0,35,63,0,133,21,1,1
Iteration 0,5.73136551023888,0,36,63,0,134,20,1,1
Iteration 0,5.738017542100791,0,37,63,0,134,20,1,1
Iteration 0,5.823697473676504,1,38,62,0,134,20,1,1
Iteration 0,5.82434656212317,2,38,62,0,134,20,1,1
Iteration 0,5.826820592787277,1,37,63,0,134,20,1,1
Iteration 0,5.832993819647072,0,36,64,0,134,20,1,1
Iteration 0,5.898214441996605,0,36,64,0,135,20,1,1
Iteration 0,5.906447900950942,0,37,64,0,136,19,1,1
Iteration 0,5.912507943744428,0,37,64,0,135,19,1,1
Iteration 0,5.916152371999239,0,38,64,0,136,18,1,1
Iteration 0,5.97322882714079,1,38,64,0,136,18,1,1
Iteration 0,5.973514968712111,0,37,65,0,136,18,1,1
Iteration 0,6.030008457943451,1,37,65,0,136,18,1,1
Iteration 0,6.032575847868111,1,37,65,0,137,18,1,1
Iteration 0,6.034336444121101,0,36,66,0,137,18,1,1
Iteration 0,6.049664854228561,0,36,66,0,138,18,1,1
Iteration 0,6.055899937783239,1,36,66,0,138,18,1,1
Iteration 0,6.057598572934227,0,35,67,0,138,18,1,1
Iteration 0,6.084222418148887,0,35,67,0,139,18,1,1
Iteration 0,6.109757041497517,0,36,67,0,139,18,1,1
Iteration 0,6.193174295007318,0,36,67,0,138,18,1,1
Iteration 0,6.231228917050078,1,36,67,0,138,18,1,1
Iteration 0,6.232486006715402,0,35,68,0,138,18,1,1
Iteration 0,6.24099788771447,1,35,68,0,138,18,1,1
Iteration 0,6.243075718409823,0,34,69,0,138,18,1,1
Iteration 0,6.300138191446317,0,34,69,0,139,18,1,1
Iteration 0,6.325964813535036,0,34,69,0,140,18,1,1
Iteration 0,6.381592284838603,1,35,68,0,140,18,1,1
Iteration 0,6.384703379221529,1,35,68,0,141,18,1,1
Iteration 0,6.386908112566329,0,34,69,0,141,18,1,1
Iteration 0,6.53912924568755,0,35,69,0,141,18,1,1
Iteration 0,6.5543628872440145,1,36,68,0,141,18,1,1
Iteration 0,6.554409196197577,0,35,69,0,141,18,1,1
Iteration 0,6.606861747955846,1,35,69,0,141,18,1,1
Iteration 0,6.60827756719733,0,34,70,0,141,18,1,1
Iteration 0,6.804857052377505,1,35,69,0,141,18,1,1
Iteration 0,6.806357103463527,0,34,70,0,141,18,1,1
Iteration 0,6.8119373484053165,0,34,70,1,140,18,1,1
Iteration 0,6.815916744098656,0,33,70,0,140,19,1,1
Iteration 0,6.8238634072249384,1,34,69,0,140,19,1,1
Iteration 0,6.8294978233830825,0,33,70,0,140,19,1,1
Iteration 0,6.842486190164436,1,34,69,0,140,19,1,1
Iteration 0,6.843279270560292,0,33,70,0,140,19,1,1
Iteration 0,6.865847857331337,1,34,69,0,140,19,1,1
Iteration 0,6.868160360160115,0,33,70,0,140,19,1,1
Iteration 0,6.981938451727407,1,34,69,0,140,19,1,1
Iteration 0,6.982724422342163,0,33,70,0,140,19,1,1
Iteration 0,7.049975158564462,1,34,69,0,140,19,1,1
Iteration 0,7.05129413903125,0,33,70,0,140,19,1,1
Iteration 0,7.0993972174112825,1,34,69,0,140,19,1,1
Iteration 0,7.100556328079529,0,33,70,0,140,19,1,1
Iteration 0,7.1054431567005,0,33,70,0,141,19,1,1
Iteration 0,7.1354236632534755,0,34,70,0,142,18,1,1
Iteration 0,7.278571290483685,0,34,69,0,142,18,1,1
Iteration 0,7.28849315958706,0,34,69,0,143,18,1,1
Iteration 0,7.310473008311515,0,35,69,0,144,17,1,1
Iteration 0,7.345787403032394,0,36,69,0,145,16,1,1
Iteration 0,7.357680568439907,1,37,68,0,145,16,1,1
Iteration 0,7.363830215712433,0,36,69,0,145,16,1,1
Iteration 0,7.364647125436936,0,36,69,0,146,16,1,1
Iteration 0,7.368791675255827,1,37,68,0,146,16,1,1
Iteration 0,7.368870781149207,0,36,69,0,146,16,1,1
Iteration 0,7.408890253029826,0,37,69,0,147,15,1,1
Iteration 0,7.43199532848595,0,37,69,0,148,15,1,1
Iteration 0,7.512532325905765,1,38,68,0,148,15,1,1
Iteration 0,7.513405326043547,0,37,69,0,148,15,1,1
Iteration 0,7.5225037675147925,1,38,68,0,148,15,1,1
Iteration 0,7.524033728312403,0,37,69,0,148,15,1,1
Iteration 0,7.556173047738509,1,38,68,0,148,15,1,1
Iteration 0,7.556251705564861,0,37,69,0,148,15,1,1
Iteration 0,7.584386505769343,0,37,69,0,149,15,1,1
Iteration 0,7.657592492716755,0,38,69,0,150,14,1,1
Iteration 0,7.67293542992662,0,38,69,0,151,14,1,1
Iteration 0,7.695448222071578,0,38,69,0,152,14,1,1
Iteration 0,7.732559041207885,1,39,68,0,152,14,1,1
Iteration 0,7.732893711895683,0,38,69,0,152,14,1,1
